Instance	"group"	
"Lesley Stevens"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_IM_Nephrology"""
"Lihteh Wu"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Ophthalmology"""
"Linda Edwards"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Paediatrics"""
"Lloyd Hildebrand"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Ophthalmology"""
"Lois Fingerhut"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_External_Causes"""
"Lori Moskal"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_H_Morbidity"""
"Madoka Ishibashi"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Internal_Medicine"""
"Maja Milicic-Brandt"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Rare_Diseases"""
"Maliwan Yuanyongsuwan"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_H_Morbidity"""
"Margaret Warner"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_External_Causes"""
"Maria Segui-Gomez"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_External_Causes"""
"Mark Pittelkow"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Dermatology"""
"Martin Sundberg"	"""ICDGroup"",""World"",""RSG"",""http://who.int/icd#TAG_Musculoskeletal"""
"Martti Virtanen"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_H_Mortality"""
"Mary Heanue"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Neoplasms"""
"Masayoshi Harigai"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_IM_Rheumatology"""
"Mea Renahan"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_H_Morbidity"""
"Megan Cumerlato"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Internal_Medicine"""
"Melissa Selb"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_H_Functioning"""
"Michael Peck"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_External_Causes"""
"Michael Repka"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Ophthalmology"""
"Michael Weichenthal"	"""ICDGroup"",""World"",""RSG"",""http://who.int/icd#TAG_Dermatology"""
"Mourad Mokni"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Dermatology"""
"Naoko Tajima"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_IM_Endocrinology"""
"Nicholas Clark"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Musculoskeletal"""
"Nicolas Ramos Rodriguez"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Paediatrics"""
"Olafr Steinum"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_H_Morbidity"""
"Omar Beltaief"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Ophthalmology"""
"Oye Gureje"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Mental_Health"",""http://who.int/icd#TAG_H_Functioning"""
"Pablo Penas"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Dermatology"""
"Paulo Dantas"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Ophthalmology"""
"Peter Malfertheiner"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_IM_Gastroenterology"""
"Peter Soyer"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Dermatology"""
"Pierre Baehni"	"""ICDGroup"",""World"",""RSG"",""http://who.int/icd#TAG_Oral_Health"""
"Raad Shakir"	"""ICDGroup"",""World"",""RSG"",""http://who.int/icd#TAG_Neurology"""
"Ramon Baez"	"""ICDGroup"",""World"",""RSG"",""http://who.int/icd#TAG_Oral_Health"""
"Reuben Escorpizo"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_H_Functioning"""
"Robert Chalmers"	"""ICDGroup"",""World"",""RSG"",""http://who.int/icd#TAG_Dermatology"""
"Robert McConnel"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Oral_Health"""
"Roberta Cardiff"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_H_Morbidity"""
"Rodney Franklin"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Paediatrics"""
"Ros Madden"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_H_Functioning"""
"Sam Notzon"	"""ICDGroup"",""World"",""RSG"",""http://who.int/icd#TAG_H_Mortality"""
"Santosh Honavar"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Ophthalmology"""
"Sara Rubinelli"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_H_Functioning"""
"Satoshi Kashii"	"""ICDGroup"",""World"",""RSG"",""http://who.int/icd#TAG_Ophthalmology"""
"Sebastien Antoni"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Neoplasms"""
"Seeket Ng"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Dermatology"""
"Selen Hotamisligil"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_GURM"""
"Shinichiro Okamoto"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_IM_Haematology"""
"Shu Hashimoto"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_IM_Respiratory"""
"Soichiro Miura"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_IM_Gastroenterology"""
"Solvejg Bang"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_H_Functioning"""
"Sophie Bonjour"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_WG_Environmental"""
"Sue Naidoo"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Oral_Health"""
"Sue Walker"	"""World"",""http://who.int/icd#TAG_H_Morbidity"",""ICDGroup"""
"Sumiko Nagoshi"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_IM_Hepatology_and_Pancreatobiliary"""
"Syed Aljunid"	"""ICDGroup"",""World"",""RSG"",""http://who.int/icd#TAG_H_Morbidity"""
"Takahide Kohro"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_IM_Cardiovascular"""
"Takeshi Kono"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Dermatology"""
"Tarun Dua"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Neurology"""
"Tero Kivela"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Ophthalmology"""
"Tomoaki Tomiya"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_IM_Hepatology_and_Pancreatobiliary"""
"Tomris Turmen"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Paediatrics"""
"Toshio Ogawa"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Internal_Medicine"""
"Wansa Paoin"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_H_Morbidity"""
"Willem Fibbe"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_IM_Haematology"""
"Winnie Chow"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Neurology"""
"Xiaorui Zhang"	"""ICDGroup"",""World"",""RSG"",""http://who.int/icd#TAG_Traditional_Medicine"""
"Yasuhiko Iino"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_IM_Nephrology"""
"Yukiko Yokobori"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Internal_Medicine"""
"Mark Musen"	"""ICDGroup"",""World"",""Stanford"",""RSG"",""HIM-TAG"""
"Samson Tu"	"""ICDGroup"",""World"",""UserCreatorsGroup"",""Stanford"",""HIM-TAG"""
"Jennifer Vendetti"	"""ICDGroup"",""AdminGroup"",""World"",""Stanford"""
"Linda Best"	"""ICDGroup"",""World"",""WHOTeam"""
"webprotege_prd"	"""WebProtegeGroup"",""Reviewers"",""ICDGroup"",""AdminGroup"",""World"""
"Admin"	"""AdminGroup"",""World"",""UserCreatorsGroup"""
"Molly Meri Robinson"	"""ICDGroup"",""World"",""UserCreatorsGroup"",""WHOTeam"""
"Tong Gong"	"""ICDGroup"",""World"",""WHOIntern"""
"Mulang Chen"	"""ICDGroup"",""World"",""WHOIntern"""
"Elif Keles"	"""ICDGroup"",""World"",""WHOIntern"""
"Daniel Bronstein"	"""ICDGroup"",""World"",""WHOIntern"""
"Catherine Cheng"	"""ICDGroup"",""World"",""WHOIntern"""
"Wei Chang"	"""ICDGroup"",""World"",""WHOIntern"""
"Heather Kester"	"""ICDGroup"",""World"",""WHOVolunteer"""
"Felix Gradinger"	"""ICDGroup"",""World"""
"Michael Klinkman"	"""ICDGroup"",""World"",""WONCA"""
"Christopher Chute"	"""ICDGroup"",""World"",""Mayo"",""RSG"""
"Bedirhan Ustun"	"""ICDGroup"",""World"",""WHOTeam"""
"Robert Jakob"	"""ICDGroup"",""World"",""UserCreatorsGroup"",""WHOTeam"""
"Harold Solbrig"	"""ICDGroup"",""World"",""Mayo"""
"Sara Cottler"	"""ICDGroup"",""World"",""UserCreatorsGroup"",""WHOTeam"""
"Margaret-Anne Storey"	"""ICDGroup"",""World"",""UnivVictoria"""
"Sean Falconer"	"""ICDGroup"",""World"""
"Tania Tudorache"	"""Reviewers"",""ICDGroup"",""AdminGroup"",""World"",""UserCreatorsGroup"",""Stanford"",""HIM-TAG"""
"Timothy Redmond"	"""Reviewers"",""ICDGroup"",""AdminGroup"",""World"",""UserCreatorsGroup"",""Stanford"""
"Guoqian Jiang"	"""ICDGroup"",""World"",""Mayo"""
"Kenta Kawasaki"	"""ICDGroup"",""World"",""WHOIntern"""
"Naohiko Nakayama"	"""ICDGroup"",""World"""
"Jim Campbell"	"""ICDGroup"",""World"",""IHTSDO"""
"James Campbell"	"""ICDGroup"",""World"",""IHTSDO"""
"Michael Schopen"	"""ICDGroup"",""World"",""WONCA"""
"Hazel Brear"	"""ICDGroup"",""World"",""IHTSDO"""
"Stefan Schulz"	"""ICDGroup"",""World"""
"Kristina Brand Persson"	"""ICDGroup"",""World"",""IHTSDO"""
"Maren Hopfe"	"""ICDGroup"",""World"",""WHOIntern"""
"Davis Kwan"	"""ICDGroup"",""World"""
"Anne Laure Lameyre"	"""ICDGroup"",""World"",""WHOTeam"""
"Sharon Whelan"	"""ICDGroup"",""World"",""UnivVictoria"""
"Pauline Gulliver"	"""ICDGroup"",""World"""
"Jane Maxwell"	"""ICDGroup"",""World"""
"Debbie Scott"	"""ICDGroup"",""World"""
"Melissa O’Donnell"	"""ICDGroup"",""World"""
"Yvette Holder"	"""ICDGroup"",""World"""
"Gabyong Jeong"	"""ICDGroup"",""World"",""WHOIntern"""
"Can Celik"	"""ICDGroup"",""World"",""UserCreatorsGroup"",""WHOTeam"""
"Csongor Nyulas"	"""ICDGroup"",""World"",""UserCreatorsGroup"",""AdminGroup"",""Stanford"",""HIM-TAG"""
"Nenad Kostanjsek"	"""ICDGroup"",""World"",""WHOTeam"""
"Alan Rector"	"""ICDGroup"",""World"",""RSG"",""HIM-TAG"""
"Jean Marie Rodrigues"	"""ICDGroup"",""World"",""HIM-TAG"""
"Jon Patrick"	"""ICDGroup"",""World"",""HIM-TAG"""
"Kent Spackman"	"""ICDGroup"",""World"",""IHTSDO"",""HIM-TAG"""
"Olivier Bodenreider"	"""ICDGroup"",""World"",""HIM-TAG"""
"Sukil Kim"	"""ICDGroup"",""World"",""HIM-TAG"""
